testing_dataset,judges_average,routed_history_by_all,gap_history_minus_judges_avg,best_single_model_acc,delta_vs_best_single
pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0,0.5063,0.906,0.39970000000000006,,
pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0,0.5952,0.9143,0.31910000000000005,,
fgm-eps216-untargeted-by-resnet56v1-ver0,0.7232,0.9144,0.19120000000000004,,
fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0,0.7264,0.9147,0.1882999999999999,,
fgm-eps216-targeted-to-least-by-resnet56v1-ver0,0.7264,0.9147,0.1882999999999999,,
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg19-ver0,0.7553,0.9081,0.15280000000000005,,
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0,0.7661,0.9056,0.13949999999999996,,
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg13-ver0,0.7672,0.9064,0.1392,,
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0,0.7775,0.9165,0.139,,
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0,0.7771,0.9134,0.13629999999999998,,
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0,0.7963,0.9111,0.11480000000000001,,
pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v2-ver0,0.8104,0.919,0.10860000000000003,,
pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0,0.8376,0.9117,0.07409999999999994,,
pgd-eps216-iter96-8steps-untargeted-by-resnet20v1-ver0,0.8564,0.9247,0.06829999999999992,,
pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0,0.8595,0.9228,0.06329999999999991,,
pgd-eps216-iter96-8steps-untargeted-by-resnet20v2-ver0,0.863,0.9243,0.06130000000000002,,
pgd-eps216-iter96-8steps-untargeted-by-vgg19-ver0,0.8706,0.9239,0.053300000000000014,,
pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0,0.8699,0.9225,0.05259999999999998,,
pgd-eps216-iter96-8steps-targeted-to-least-by-vgg11-ver0,0.852,0.9001,0.04810000000000003,,
pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0,0.8814,0.9083,0.026900000000000035,,
cwl2-untargeted-by-resnet56v1-ver0,0.9347,0.9334,-0.0012999999999999678,,
pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0,0.9388,0.9369,-0.0019000000000000128,,
pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0,0.9393,0.9372,-0.0020999999999999908,,
original,0.9408,0.9381,-0.0026999999999999247,,
deepfool-untargeted-by-resnet56v1-ver0,0.8893,0.8865,-0.0028000000000000247,,
pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0,0.9401,0.9372,-0.0029000000000000137,,
cwl2-targeted-to-2nd-by-resnet56v1-ver0,0.9349,0.9277,-0.007199999999999984,,
cwl2-targeted-to-least-by-resnet56v1-ver0,0.9394,0.9295,-0.00990000000000002,,
