,B,S-B
pgd_targeted_2nd_ResNet56v1,0.3752187448553741,0.5610906323418021
pgd_targeted_ll_ResNet56v1,0.5064723949568967,0.710215102105091
pgd_targeted_ll_ResNet20v1,0.5105944213656974,0.7101660744686211
cwl2_untargeted_ResNet56v1,0.5136484384226302,0.5771145837691922
pgd_targeted_ll_vgg16,0.5221835924312472,0.69361328240484
pgd_targeted_ll_vgg19,0.5227273420896381,0.6928687524050474
pgd_targeted_ll_ResNet56v2,0.5268638037766019,0.7236697933015723
pgd_targeted_ll_ResNet20v2,0.5313713516419132,0.7254375067229072
pgd_targeted_ll_vgg13,0.5480999979190528,0.7059585941024125
pgd_targeted_ll_vgg11,0.6544976527802646,0.7958414070308208
pgd_untargeted_ResNet56v1,0.6649690102785826,0.7686783869285136
pgd_untargeted_ResNet20v2,0.7702588529015582,0.8484747366358837
pgd_untargeted_ResNet56v2,0.7723101555990677,0.850339060028394
pgd_untargeted_ResNet20v1,0.7847406253484743,0.8554860497159618
pgd_untargeted_vgg11,0.7853718735277653,0.8647117181681097
cwl2_targeted_2nd_ResNet56v1,0.7860510405153036,0.8948687569548687
pgd_untargeted_vgg16,0.7998414034955204,0.8442718735896051
pgd_untargeted_vgg19,0.8005429697223008,0.8562914058566093
pgd_untargeted_vgg13,0.805975781287998,0.8619382795877755
cwl2_targeted_ll_ResNet56v1,0.8248213532691201,0.906601564027369
original_original_original,0.8345125019550323,0.9098031222820282
