,ResNet20v1_B_0,ResNet20v1_B_1,ResNet20v1_B_2,ResNet20v1_B_3,ResNet20v1_B_4,ResNet20v1_B_5,ResNet20v1_B_6,ResNet20v1_B_7,3ResNet20v1_S-B_0,ResNet20v1_S-B_1,ResNet20v1_S-B_2,ResNet20v1_S-B_3,ResNet20v1_S-B_4,ResNet20v1_S-B_5,ResNet20v1_S-B_6,ResNet20v1_S-B_7,ResNet20v2_B_0,ResNet20v2_B_1,ResNet20v2_B_2,ResNet20v2_B_3,ResNet20v2_S-B_0,ResNet20v2_S-B_1,ResNet20v2_S-B_2,ResNet20v2_S-B_3,ResNet56v1_B_0,ResNet56v1_B_1,ResNet56v1_B_2,ResNet56v1_B_3,ResNet56v1_S-B_0,ResNet56v1_S-B_1,ResNet56v1_S-B_2,ResNet56v1_S-B_3,ResNet56v2_B_0,ResNet56v2_B_1,ResNet56v2_B_2,ResNet56v2_B_3,ResNet56v2_S-B_0,ResNet56v2_S-B_1,ResNet56v2_S-B_2,ResNet56v2_S-B_3
cwl2_targeted_2nd_ResNet56v1,,,,,,,,,,,,,,,,,,,,,,,,,0.089299999,,,,0.8671,,,,,,,,,,,
cwl2_targeted_ll_ResNet56v1,,,,,,,,,,,,,,,,,,,,,,,,,0.83890003,0.817600012,0.828250021,,0.901799977,0.903400004,0.90259999,,,,,,,,,
cwl2_untargeted_ResNet56v1,,,,,,,,,,,,,,,,,,,,,,,,,0.079899997,0.097499996,0.088699996,,0.868200004,0.256799996,0.5625,,,,,,,,,
pgd_targeted_ll_ResNet20v1,0.207000002,0.214300007,0.207200006,0.181600004,0.180299997,0.203199998,0.202000007,0.214300007,0.511099994,0.482199997,0.491400003,0.467599988,0.453399986,0.475199997,0.497200012,0.516700029,,,,,,,,,,,,,,,,,,,,,,,,
pgd_targeted_ll_ResNet20v2,,,,,,,0.201237503,,,,,,,,0.486850001,,0.180999994,0.212400004,0.197300002,0.207000002,0.574599981,0.598399997,0.6074,0.57160002,,,,,,,,,,,,,,,,
pgd_targeted_ll_ResNet56v1,,,,,,,,,,,,,,,,,,,,0.199425001,,,,0.588,0.212300003,0.218700007,0.234899998,0.229599997,0.518700004,0.523199975,0.541599989,0.55250001,,,,,,,,
pgd_targeted_ll_ResNet56v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223875001,,,,0.533999994,0.202399999,0.202500001,0.206,0.218500003,0.628499985,0.550800025,0.612299979,0.58920002
pgd_untargeted_ResNet20v1,0.754199982,0.779600024,0.781400025,0.787199974,0.776499987,0.787599981,0.773299992,0.75940001,0.76880002,0.787100017,0.792200029,0.791700006,0.780499995,0.792900026,0.779699981,0.77759999,,,,,,,,,,,,,,,,,,,,0.207350001,,,,0.595200002
pgd_untargeted_ResNet20v2,,,,,,,0.774899997,,,,,,,,0.783812508,,0.749000013,0.735099971,0.746100008,0.74879998,0.782999992,0.76730001,0.782800019,0.774299979,,,,,,,,,,,,,,,,
pgd_untargeted_ResNet56v1,,,,,,,,,,,,,,,,,,,,0.744749993,,,,0.77685,0.0097,0.772199988,0.786000013,0.776000023,0.082599998,0.788900018,0.800599992,0.7949,,,,,,,,
pgd_untargeted_ResNet56v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.778066675,,,,0.794800003,0.744799972,0.76730001,0.730499983,0.749899983,0.783100009,0.790300012,0.765799999,0.789499998
